昵称,性别,聊天内容,时间戳,商品,类别,主播
太***,2,自营肥牛卷有吗,1679543992,羊肚菌,食品,顿顿
甜***,2,看饿了,1679543992,羊肚菌,食品,顿顿
用***,0,好吃吗？这个羊肚菌。,1679543993,羊肚菌,食品,顿顿
惠***,2,边吃饭边看顿顿直播,1679543993,羊肚菌,食品,顿顿
嘟***,0,咋这么香,1679543993,羊肚菌,食品,顿顿
霞***,2,这个点，我饿了,1679543995,羊肚菌,食品,顿顿
非***,0,我刚吃好饭，看的我流口水,1679543995,羊肚菌,食品,顿顿
滢***,2,鱼糕有点咸,1679543995,羊肚菌,食品,顿顿
东***,0,大家有需要的商品在小黄车里找下都已经开价，没有的就是暂无库存，不定时返场哦，具体咨询链接左下角客服哈,1679543996,羊肚菌,食品,顿顿
阳***,2,@?*** 是的,1679543997,羊肚菌,食品,顿顿
飞***,0,多久可以熟,1679543997,羊肚菌,食品,顿顿
年***,2,看得我好饿,1679543997,羊肚菌,食品,顿顿
崽***,2,玉米玉米玉米,1679543998,羊肚菌,食品,顿顿
V***,2,太香啦,1679543998,羊肚菌,食品,顿顿
甜***,2,好吃,1679543998,羊肚菌,食品,顿顿
格***,2,太好吃了，闭眼冲,1679543999,羊肚菌,食品,顿顿
厨***,1,顿顿什么时候来广东,1679543999,羊肚菌,食品,顿顿
悠***,0,羊肚菌好吃,1679543999,羊肚菌,食品,顿顿
璀***,2,什么都不给新疆发,1679543999,羊肚菌,食品,顿顿
欣***,2,鱼糕好吃,1679544000,羊肚菌,食品,顿顿
J***,2,刚到云南是菌菇火锅 好鲜美,1679544000,羊肚菌,食品,顿顿
燕***,0,你为啥不使用公筷呢？,1679544000,羊肚菌,食品,顿顿
桂***,2,好想吃,1679544000,羊肚菌,食品,顿顿
旅***,0,顿顿多吃点，午饭可以了[呲牙],1679544000,羊肚菌,食品,顿顿
一***,2,鱼糕啥时候上,1679544000,羊肚菌,食品,顿顿
用***,0,[比心][比心][比心],1679544001,羊肚菌,食品,顿顿
秋***,2,看饿了,1679544001,羊肚菌,食品,顿顿
布***,2,扔票啦[玫瑰],1679544001,羊肚菌,食品,顿顿
崽***,2,玉米玉米玉米,1679544001,羊肚菌,食品,顿顿
-***,2,要先泡发吗,1679544001,羊肚菌,食品,顿顿
四***,0,顿顿是精致大男孩,1679544003,羊肚菌,食品,顿顿
菩***,0,牛肉卷今天上不上？,1679544003,羊肚菌,食品,顿顿
司***,0,看着你吃好饿,1679544004,羊肚菌,食品,顿顿
甜***,2,好饿呀,1679544004,羊肚菌,食品,顿顿
不***,2,没有沙棘原浆吗,1679544004,羊肚菌,食品,顿顿
S***,0,羊肚菌好吃 又鲜,1679544004,羊肚菌,食品,顿顿
胖***,1,衣服好看,1679544005,羊肚菌,食品,顿顿
画***,2,上次云南场我买了确实很好,1679544005,羊肚菌,食品,顿顿
柯***,2,顿顿的衣服好漂亮,1679544005,羊肚菌,食品,顿顿
一***,2,鱼糕比较好吃,1679544006,羊肚菌,食品,顿顿
崽***,2,玉米玉米玉米有吗,1679544008,羊肚菌,食品,顿顿
。***,2,12号的牛奶适合小孩喝吗,1679544009,羊肚菌,食品,顿顿
昵***,0,和羊排能不能放一起煮,1679544009,羊肚菌,食品,顿顿
桂***,2,美食,1679544010,羊肚菌,食品,顿顿
乐***,2,加点肉一起炒也好吃,1679544010,羊肚菌,食品,顿顿
M***,2,沾酱推荐一下[呲牙],1679544011,羊肚菌,食品,顿顿
晴***,2,来看帅哥的,1679544011,羊肚菌,食品,顿顿
果***,1,哺乳期可以吃吗,1679544012,羊肚菌,食品,顿顿
佳***,2,第8,1679544012,羊肚菌,食品,顿顿
甜***,2,顿顿多吃点,1679544012,羊肚菌,食品,顿顿
雁***,0,想买新鲜的羊肚菌,1679544013,羊肚菌,食品,顿顿
。***,2,12号的牛奶适合小孩喝吗,1679544014,羊肚菌,食品,顿顿
秋***,2,看饿了,1679544014,羊肚菌,食品,顿顿
未***,2,中午好,1679544015,羊肚菌,食品,顿顿
雨***,2,我在吃泡面，顿顿在吃好吃的,1679544016,羊肚菌,食品,顿顿
朵***,0,锅是哪个,1679544016,羊肚菌,食品,顿顿
崽***,2,玉米玉米玉米玉米玉米玉米,1679544016,羊肚菌,食品,顿顿
小***,1,不容易啊！鄂尔多斯人民表示终于拍到大虾了[鼓掌][鼓掌][鼓掌],1679544017,羊肚菌,食品,顿顿
邹***,2,看到我们湖北的鱼糕，果断下单,1679544018,羊肚菌,食品,顿顿
菩***,0,牛肉卷今天上不上？,1679544018,羊肚菌,食品,顿顿
纨***,0,枇杷甜不甜？,1679544018,羊肚菌,食品,顿顿
黑***,2,云南专场买了，煮汤时放两个很鲜,1679544019,羊肚菌,食品,顿顿
璀***,2,就一个玉米汁给新疆发，运费72,1679544019,羊肚菌,食品,顿顿
星***,2,羊肚菌，竹笙一起炖🐔，很好吃,1679544019,羊肚菌,食品,顿顿
倩***,2,[赞][赞][赞],1679544020,羊肚菌,食品,顿顿
俏***,2,幸亏我边吃边看，否则口水流一地[捂脸],1679544021,羊肚菌,食品,顿顿
皮***,0,牛肉丸怎么老没货,1679544023,羊肚菌,食品,顿顿
东***,0,大家有需要的商品在小黄车里找下都已经开价，没有的就是暂无库存，不定时返场哦，具体咨询链接左下角客服哈,1679544023,羊肚菌,食品,顿顿
诺***,2,你的锅讲一下？,1679544024,羊肚菌,食品,顿顿
欣***,2,鱼糕煮火锅。yyds,1679544024,羊肚菌,食品,顿顿
兜***,0,还好我吃过饭了,1679544025,羊肚菌,食品,顿顿
小***,2,家里有羊肚菌，但是不想吃，看顿顿这么一吃，我觉得应该尝试一下。,1679544028,羊肚菌,食品,顿顿
D***,0,可以炖蛋！,1679544028,羊肚菌,食品,顿顿
瑜***,2,我们成都金堂的羊肚菌才是金品，买起来！！！,1679544029,羊肚菌,食品,顿顿
馨***,0,今天有鱼糕啊  我发现了顿顿一上播这个品就出来了,1679544029,羊肚菌,食品,顿顿
嘟***,0,看顿顿吃饭很下饭,1679544029,羊肚菌,食品,顿顿
崽***,2,玉米玉米玉米玉米,1679544030,羊肚菌,食品,顿顿
未***,2,羊肚菌煲汤好喝,1679544030,羊肚菌,食品,顿顿
宅***,0,广东煲菌汤,1679544031,羊肚菌,食品,顿顿
梓***,0,竹荪做猪肚鸡不要太好吃了,1679544031,羊肚菌,食品,顿顿
山***,2,顿顿中午好,1679544032,羊肚菌,食品,顿顿
毛***,2,点点赞[比心][比心][比心][比心][比心][比心],1679544034,牛肉丸,食品,顿顿
😘***,2,变成吃播了啊哈哈😃,1679544034,牛肉丸,食品,顿顿
帅***,1,顿顿今天帅的辣眼睛[比心],1679544036,牛肉丸,食品,顿顿
☁***,2,[呲牙],1679544036,牛肉丸,食品,顿顿
菩***,0,牛肉卷今天上不上？,1679544036,牛肉丸,食品,顿顿
帕***,1,上次看到顿顿老师类的在办公桌上睡着了,1679544036,牛肉丸,食品,顿顿
行***,0,鱼糕好吃，孩子很喜欢,1679544038,牛肉丸,食品,顿顿
C***,0,都看饿了,1679544039,牛肉丸,食品,顿顿
H***,2,煲鸡汤很好喝,1679544039,牛肉丸,食品,顿顿
听***,0,血橙没有了吗？,1679544039,牛肉丸,食品,顿顿
毛***,2,点点赞[比心][比心][比心][比心][比心],1679544041,牛肉丸,食品,顿顿
乐***,2,和羊排炖，好鲜,1679544041,牛肉丸,食品,顿顿
y***,0,哇 牛肉丸,1679544042,牛肉丸,食品,顿顿
万***,0,昨天晚上车里有细菌乳膏想买怎么没有了,1679544046,牛肉丸,食品,顿顿
未***,2,牛肉丸好吃,1679544048,牛肉丸,食品,顿顿
壮***,0,12号链接天津不发货吗,1679544049,牛肉丸,食品,顿顿
文***,2,为什么重庆拍不了,1679544050,牛肉丸,食品,顿顿
皮***,0,没货,1679544050,牛肉丸,食品,顿顿
鹿***,2,我就喜欢在这个平台买东西,1679544052,牛肉丸,食品,顿顿
碎***,2,恩施小土豆讲完了的吗？,1679544054,牛肉丸,食品,顿顿
蔚***,0,看顿顿吃的太香[捂脸]拍了,1679544054,牛肉丸,食品,顿顿
口***,2,来新疆旅游，可以在松林采到羊肚菌,1679544055,牛肉丸,食品,顿顿
@***,2,玉米🌽,1679544056,牛肉丸,食品,顿顿
媛***,2,[赞][赞][赞][赞][赞],1679544057,牛肉丸,食品,顿顿
未***,2,煮火锅太合适了,1679544060,牛肉丸,食品,顿顿
朵***,0,锅锅锅,1679544060,牛肉丸,食品,顿顿
🌈***,2,我也是金堂的,1679544061,牛肉丸,食品,顿顿
☁***,2,我的灯牌怎么变成1了。,1679544062,牛肉丸,食品,顿顿
桃***,2,9号链接，有蘸酱,1679544062,牛肉丸,食品,顿顿
画***,2,牛肉丸换包装了吗,1679544062,牛肉丸,食品,顿顿
好***,0,没有混合装的,1679544062,牛肉丸,食品,顿顿
馨***,2,中午好,1679544062,牛肉丸,食品,顿顿
不***,2,没有沙棘原浆吗,1679544063,牛肉丸,食品,顿顿
小***,2,你喝的是什么,1679544063,牛肉丸,食品,顿顿
蓝***,0,这就是午饭了[捂脸],1679544065,牛肉丸,食品,顿顿
a***,0,重庆买不了牛肉丸,1679544066,牛肉丸,食品,顿顿
，***,2,鱼糕在5号,1679544066,牛肉丸,食品,顿顿
小***,0,用公筷哦,1679544066,牛肉丸,食品,顿顿
蕾***,2,感觉好久没见顿顿了,1679544067,牛肉丸,食品,顿顿
小***,2,红了吧,1679544067,牛肉丸,食品,顿顿
安***,2,顿顿幸福时光,1679544068,牛肉丸,食品,顿顿
橙***,2,哈哈哈昨晚那么兴奋，今天还不是来拉磨,1679544068,牛肉丸,食品,顿顿
野***,2,肉丸[舔屏][舔屏][舔屏][舔屏][舔屏][舔屏][舔屏][舔屏][舔屏][舔屏][舔屏][舔屏][舔屏][舔屏][舔屏][舔屏][舔屏],1679544069,牛肉丸,食品,顿顿
未***,2,看着就很有食欲的,1679544070,牛肉丸,食品,顿顿
火***,2,第几呀,1679544070,牛肉丸,食品,顿顿
络***,0,等了好久的牛肉丸,1679544070,牛肉丸,食品,顿顿
皮***,0,重庆没货,1679544070,牛肉丸,食品,顿顿
🌈***,2,总榜第一[比心],1679544072,牛肉丸,食品,顿顿
猪***,0,虾,1679544074,牛肉丸,食品,顿顿
🌴***,2,这锅有卖的吗？,1679544074,牛肉丸,食品,顿顿
失***,0,牛筋丸,1679544075,牛肉丸,食品,顿顿
钢***,2,什么时候有即食银耳[呲牙],1679544076,牛肉丸,食品,顿顿
，***,2,鱼糕好吃,1679544077,牛肉丸,食品,顿顿
嘟***,0,哈哈哈哈,1679544078,牛肉丸,食品,顿顿
我***,2,锅,1679544078,牛肉丸,食品,顿顿
小***,0,牛肉丸重庆不发货。[流泪][流泪],1679544078,牛肉丸,食品,顿顿
渱***,2,再煮点粉丝,1679544079,牛肉丸,食品,顿顿
牛***,2,哈哈哈,1679544079,牛肉丸,食品,顿顿
K***,2,顿顿饭点直播太爽了,1679544080,牛肉丸,食品,顿顿
樱***,0,牛肉丸拍不了,1679544081,牛肉丸,食品,顿顿
影***,2,有锅吗,1679544081,牛肉丸,食品,顿顿
宅***,0,别烫到了,1679544082,牛肉丸,食品,顿顿
N***,0,顿顿衣服好看,1679544082,牛肉丸,食品,顿顿
朱***,0,烫，你慢点,1679544083,牛肉丸,食品,顿顿
牛***,2,好可爱,1679544084,牛肉丸,食品,顿顿
小***,2,选不了4袋装的,1679544084,牛肉丸,食品,顿顿
猪***,0,我想看虾,1679544084,牛肉丸,食品,顿顿
佑***,0,看饿啦,1679544084,牛肉丸,食品,顿顿
，***,2,哈哈哈,1679544085,牛肉丸,食品,顿顿
Y***,2,唔好心急,1679544085,牛肉丸,食品,顿顿
B***,0,[捂脸][捂脸][捂脸],1679544086,牛肉丸,食品,顿顿
🌈***,2,总榜第一[比心],1679544086,牛肉丸,食品,顿顿
桐***,0,慢点吃,1679544087,牛肉丸,食品,顿顿
荣***,2,我就爱看顿顿吃东西，特可爱,1679544087,牛肉丸,食品,顿顿
李***,2,衣服好好看,1679544087,牛肉丸,食品,顿顿
🎀***,2,顿顿可可爱爱,1679544088,牛肉丸,食品,顿顿
布***,2,别烫着,1679544088,牛肉丸,食品,顿顿
用***,0,@☁*** ，我看是10,1679544088,牛肉丸,食品,顿顿
子***,2,[呲牙][呲牙],1679544089,牛肉丸,食品,顿顿
小***,1,下播后是不是不用去吃饭了？,1679544089,牛肉丸,食品,顿顿
走***,2,吃火锅直播太爽了,1679544089,牛肉丸,食品,顿顿
，***,2,表情包,1679544090,牛肉丸,食品,顿顿
用***,0,你喝的是什么,1679544090,牛肉丸,食品,顿顿
简***,2,烫,1679544090,牛肉丸,食品,顿顿
C***,0,小心烫[捂脸],1679544091,牛肉丸,食品,顿顿
x***,2,好吃不,1679544091,牛肉丸,食品,顿顿
安***,1,烫死了，哈哈,1679544091,牛肉丸,食品,顿顿
d***,0,你吃火锅我吃食堂，流口水,1679544091,牛肉丸,食品,顿顿
米***,2,看饿了,1679544091,牛肉丸,食品,顿顿
柑***,0,太烫了,1679544092,牛肉丸,食品,顿顿
小***,2,好吃,1679544092,牛肉丸,食品,顿顿
R***,0,烫,1679544093,牛肉丸,食品,顿顿
E***,2,吃的好满足啊,1679544093,牛肉丸,食品,顿顿
舒***,2,西红柿什么时候还上啊,1679544093,牛肉丸,食品,顿顿
顾***,0,哈哈哈哈，太烫了,1679544094,牛肉丸,食品,顿顿
💜***,0,这个我回购几次了,1679544094,牛肉丸,食品,顿顿
一***,0,@☁*** 没有，是10,1679544094,牛肉丸,食品,顿顿
空***,2,锅卖不,1679544094,牛肉丸,食品,顿顿
临***,2,好久不见,1679544094,牛肉丸,食品,顿顿
H***,0,哈哈哈哈哈,1679544094,牛肉丸,食品,顿顿
i***,0,慢慢吃,1679544095,牛肉丸,食品,顿顿
手***,2,我也正在吃东方甄选买的牛肉丸,1679544095,牛肉丸,食品,顿顿
向***,2,[比心][比心][呲牙][呲牙][赞][一起加油][一起加油],1679544095,牛肉丸,食品,顿顿
祖***,2,讲一下锅,1679544095,牛肉丸,食品,顿顿
在***,2,昨天好兴奋哈哈哈哈哈,1679544096,牛肉丸,食品,顿顿
若***,2,刚才看见才想起昨晚梦见顿顿老师了[捂脸][捂脸],1679544096,牛肉丸,食品,顿顿
冬***,1,主播好,1679544096,牛肉丸,食品,顿顿
子***,2,好Q弹,1679544097,牛肉丸,食品,顿顿
小***,2,看了很多天了，拍不了,1679544097,牛肉丸,食品,顿顿
蕾***,2,纯牛肉,1679544096,牛肉丸,食品,顿顿
添***,0,烫着啦吧？？？？,1679544097,牛肉丸,食品,顿顿
名***,2,吃慢点，太烫了,1679544097,牛肉丸,食品,顿顿
~***,2,@☁*** 十级灯牌啊,1679544098,牛肉丸,食品,顿顿
恬***,0,[捂脸]慢点吃顿子，烫着你[泪奔],1679544098,牛肉丸,食品,顿顿
小***,0,慢点吃，小心烫,1679544098,牛肉丸,食品,顿顿
祖***,2,讲一下锅,1679544099,牛肉丸,食品,顿顿
是***,2,好乖好乖,1679544099,牛肉丸,食品,顿顿
媚***,2,顿顿购物车的枇杷好吃吗,1679544099,牛肉丸,食品,顿顿
M***,2,看的我都流口水了,1679544099,牛肉丸,食品,顿顿
c***,2,好饿……,1679544099,牛肉丸,食品,顿顿
B***,0,慢点吃,1679544099,牛肉丸,食品,顿顿
K***,2,衣服牌子 谢谢,1679544100,牛肉丸,食品,顿顿
疏***,0,怎么没有牛肉丸,1679544100,牛肉丸,食品,顿顿
临***,2,十分想念,1679544101,牛肉丸,食品,顿顿
梅***,2,没有,1679544101,牛肉丸,食品,顿顿
可***,2,吃慢点,1679544101,牛肉丸,食品,顿顿
小***,2,顿顿好帅呀,1679544101,牛肉丸,食品,顿顿
嘟***,0,咋这么香,1679544101,牛肉丸,食品,顿顿
一***,2,有八珍粉吗,1679544101,牛肉丸,食品,顿顿
李***,2,衣服好好看[偷笑],1679544102,牛肉丸,食品,顿顿
申***,2,拍不了[流泪],1679544102,牛肉丸,食品,顿顿
丹***,2,好想吃,1679544103,牛肉丸,食品,顿顿
晴***,1,竹荪啊，我以为顿顿大舌头说的是竹笋[捂脸][捂脸][捂脸],1679544103,牛肉丸,食品,顿顿
张***,0,好吃好吃,1679544103,牛肉丸,食品,顿顿
满***,2,牙线还有吗,1679544103,牛肉丸,食品,顿顿
珍***,0,看你直播好解压,1679544104,牛肉丸,食品,顿顿
小***,0,你在构建些什么。,1679544104,牛肉丸,食品,顿顿
临***,2,顿顿,1679544104,牛肉丸,食品,顿顿
小***,2,别吃太烫的,1679544105,牛肉丸,食品,顿顿
安***,1,顿顿，好可爱[比心][比心][比心][比心][比心][比心][比心][比心],1679544107,牛肉丸,食品,顿顿
L***,0,太烫了吃的好狼狈[捂脸][捂脸][捂脸],1679544107,牛肉丸,食品,顿顿
小***,2,牛肉丸牛筋丸组合还会上吗,1679544107,牛肉丸,食品,顿顿
🐱***,2,喜欢吃火锅 但是不喜欢吃完衣服都是火锅味道[捂脸][捂脸][捂脸],1679544108,牛肉丸,食品,顿顿
a***,0,顿顿慢点,1679544108,牛肉丸,食品,顿顿
小***,2,选不了4袋的,1679544109,牛肉丸,食品,顿顿
R***,0,明明是有猪肉的,1679544108,牛肉丸,食品,顿顿
l***,2,牛筋丸,1679544109,牛肉丸,食品,顿顿
B***,0,我看饿了,1679544109,牛肉丸,食品,顿顿
华***,0,看着都饿了,1679544109,牛肉丸,食品,顿顿
Y***,2,哈哈,1679544109,牛肉丸,食品,顿顿
乐***,2,烫[捂脸],1679544110,牛肉丸,食品,顿顿
琴***,0,顿顿每天有工作餐，在家不用吃饭的吧[捂脸],1679544110,牛肉丸,食品,顿顿
青***,0,看个直播口水流一地[捂脸][捂脸],1679544110,牛肉丸,食品,顿顿
超***,2,拍不上,1679544110,牛肉丸,食品,顿顿
P***,2,过分了，看一个买一个,1679544110,牛肉丸,食品,顿顿
蛋***,2,拍不了,1679544110,牛肉丸,食品,顿顿
满***,2,牙线是哪个链接,1679544110,牛肉丸,食品,顿顿
璀***,2,所有东西都不给新疆发？,1679544111,牛肉丸,食品,顿顿
未***,2,看着你吃得好香的,1679544111,牛肉丸,食品,顿顿
y***,0,等了好久的牛肉丸买啦,1679544111,牛肉丸,食品,顿顿
奔***,2,买不了,1679544112,牛肉丸,食品,顿顿
秋***,2,饭点直播直接吃饭了,1679544112,牛肉丸,食品,顿顿
m***,2,牛肉片能上吗,1679544112,牛肉丸,食品,顿顿
岁***,2,@帕*** 没抢到,1679544112,牛肉丸,食品,顿顿
梓***,0,特别喜欢吃牛肉丸,1679544112,牛肉丸,食品,顿顿
晶***,2,牛筋丸有吗,1679544113,牛肉丸,食品,顿顿
王***,1,还要等小土豆,1679544113,牛肉丸,食品,顿顿
晓***,2,鱼糕好吃,1679544113,牛肉丸,食品,顿顿
c***,2,没有了,1679544114,牛肉丸,食品,顿顿
卷***,2,天天吃还不胖,1679544114,牛肉丸,食品,顿顿
馒***,0,锅子哪里买？,1679544114,牛肉丸,食品,顿顿
Y***,2,可爱,1679544114,牛肉丸,食品,顿顿
J***,2,不要吃太热的饭,1679544116,牛肉丸,食品,顿顿
小***,2,选不了4袋的,1679544116,牛肉丸,食品,顿顿
两***,2,谁说他今天拉磨不开心的！,1679544116,牛肉丸,食品,顿顿
皮***,0,牛肉丸重庆没货,1679544116,牛肉丸,食品,顿顿
钢***,2,运营，什么时候有即食银耳,1679544116,牛肉丸,食品,顿顿
祖***,2,看中你们那个锅了,1679544117,牛肉丸,食品,顿顿
欣***,2,买了好多,1679544118,牛肉丸,食品,顿顿
🌈***,2,到手多少斤,1679544118,牛肉丸,食品,顿顿
乔***,2,没货了吗,1679544118,牛肉丸,食品,顿顿
凉***,0,牛肉丸应该没牛肉，合成肉,1679544119,牛肉丸,食品,顿顿
朵***,0,锅有没有,1679544119,牛肉丸,食品,顿顿
小***,2,牛肉丸牛筋丸组合还会上吗,1679544120,牛肉丸,食品,顿顿
神***,2,你为啥吃不胖呢,1679544120,牛肉丸,食品,顿顿
w***,2,顿顿吃啥都香,1679544120,牛肉丸,食品,顿顿
思***,1,拍不了,1679544120,牛肉丸,食品,顿顿
敏***,0,和之前的比，牛肉含量增多了吗,1679544121,牛肉丸,食品,顿顿
🐯***,2,鱼糕,1679544121,牛肉丸,食品,顿顿
小***,1,咽咽口水[捂脸],1679544121,牛肉丸,食品,顿顿
🌈***,2,到手多少斤,1679544121,牛肉丸,食品,顿顿
牛***,2,哈哈哈,1679544122,牛肉丸,食品,顿顿
小***,0,太烫了,1679544123,牛肉丸,食品,顿顿
司***,0,顿顿好可爱啊哈哈哈哈,1679544123,牛肉丸,食品,顿顿
大***,2,哈哈哈哈哈,1679544124,牛肉丸,食品,顿顿
奥***,0,顿顿为什么光吃不胖呢？[捂脸],1679544124,牛肉丸,食品,顿顿
👑***,2,看你吃就觉得饿,1679544124,牛肉丸,食品,顿顿
A***,2,没有牛筋丸嘛,1679544124,牛肉丸,食品,顿顿
我***,2,重庆买不了,1679544124,牛肉丸,食品,顿顿
空***,2,下巴有汤汁[呲牙][呲牙][呲牙][呲牙],1679544126,牛肉丸,食品,顿顿
🌈***,2,到手多少斤,1679544126,牛肉丸,食品,顿顿
秋***,0,顿顿是烫的吗,1679544126,牛肉丸,食品,顿顿
卷***,2,吃饭的时候还这么好看,1679544126,牛肉丸,食品,顿顿
q***,0,云南拍不了[流泪],1679544127,牛肉丸,食品,顿顿
小***,2,选不了4袋的,1679544127,牛肉丸,食品,顿顿
@***,2,给明老师留点[捂脸],1679544128,牛肉丸,食品,顿顿
䴖***,2,不能看顿顿卖吃的，要剁手[捂脸][捂脸],1679544128,牛肉丸,食品,顿顿
梦***,2,放桌子上可以弹起来吗,1679544129,牛肉丸,食品,顿顿
莎***,0,是多少袋,1679544129,牛肉丸,食品,顿顿
Q***,2,看着好香哇,1679544129,牛肉丸,食品,顿顿
秋***,0,[捂脸][捂脸][捂脸],1679544129,牛肉丸,食品,顿顿
暖***,0,没法拍啊……[捂脸][捂脸][捂脸][捂脸],1679544129,牛肉丸,食品,顿顿
大***,2,烫,1679544129,牛肉丸,食品,顿顿
🌈***,2,到手多少斤,1679544130,牛肉丸,食品,顿顿
画***,2,牛肉丸确实好吃我是不断回购的,1679544131,牛肉丸,食品,顿顿
恬***,0,慢点吃，宝子,1679544131,牛肉丸,食品,顿顿
小***,0,没有了呢？,1679544131,牛肉丸,食品,顿顿
妞***,2,烫着了,1679544131,牛肉丸,食品,顿顿
狗***,2,藜麦藜麦藜麦藜麦有吗今天,1679544131,牛肉丸,食品,顿顿
A***,2,只有牛肉丸,1679544132,牛肉丸,食品,顿顿
c***,2,成都无货吗？,1679544132,牛肉丸,食品,顿顿
牛***,2,笑富了，好可爱的顿顿,1679544132,牛肉丸,食品,顿顿
我***,2,顿顿你好帅啊,1679544132,牛肉丸,食品,顿顿
喵***,2,只有三袋的[流泪],1679544132,牛肉丸,食品,顿顿
小***,1,无货,1679544132,牛肉丸,食品,顿顿
豆***,2,把我看饿了,1679544133,牛肉丸,食品,顿顿
茂***,2,没有了呀,1679544133,牛肉丸,食品,顿顿
🎀***,2,顿顿吃东西好治愈,1679544133,牛肉丸,食品,顿顿
遥***,2,买不了,1679544133,牛肉丸,食品,顿顿
好***,0,吃完再说话[呲牙],1679544134,牛肉丸,食品,顿顿
一***,1,慢点吃[捂脸],1679544134,牛肉丸,食品,顿顿
蓝***,0,什么时候卖点鸽子,1679544134,牛肉丸,食品,顿顿
🌈***,2,到手多少斤,1679544134,牛肉丸,食品,顿顿
V***,2,太香了吧,1679544134,牛肉丸,食品,顿顿
皮***,0,没货,1679544134,牛肉丸,食品,顿顿
A***,2,哇是顿顿,1679544135,牛肉丸,食品,顿顿
欣***,0,[呲牙][呲牙][呲牙],1679544135,牛肉丸,食品,顿顿
依***,2,4袋装的没货了,1679544135,牛肉丸,食品,顿顿
我***,2,重庆没货,1679544135,牛肉丸,食品,顿顿
Z***,1,回购好几次了,1679555280,虾,生鲜,明明
球***,2,非常好吃,1679555280,虾,生鲜,明明
程***,0,火了，是非就多了，说明知名度高,1679555280,虾,生鲜,明明
小***,2,别说了  我们都懂,1679555281,虾,生鲜,明明
静***,2,我明大气！,1679555281,虾,生鲜,明明
沁***,2,回购好多次了,1679555281,虾,生鲜,明明
繁***,2,啥时候有杏呀，好想吃,1679555281,虾,生鲜,明明
诛***,0,别说了，亲,1679555281,虾,生鲜,明明
初***,2,买过的才有资格评论，我买了两次，超棒！！！！,1679555281,虾,生鲜,明明
玲***,2,买了五六单啦，就是好,1679555282,虾,生鲜,明明
慧***,0,这虾买过几次了，好吃,1679555282,虾,生鲜,明明
C***,2,这虾买过两次了,1679555283,虾,生鲜,明明
L***,2,好喝的没洋洋，明明我说的对吗？,1679555283,虾,生鲜,明明
葡***,1,小的没有呀,1679555283,虾,生鲜,明明
p***,0,这个虾买5盒了,1679555283,虾,生鲜,明明
.***,0,[捂脸][捂脸],1679555283,虾,生鲜,明明
说***,0,买了七八次了,1679555284,虾,生鲜,明明
张***,2,挺大的,1679555284,虾,生鲜,明明
@***,2,咖啡,1679555285,虾,生鲜,明明
王***,0,再次回购了[呲牙][呲牙][呲牙],1679555285,虾,生鲜,明明
X***,0,大的和小的能对比一下吗,1679555285,虾,生鲜,明明
我***,1,[鼓掌][鼓掌][鼓掌][鼓掌],1679555286,虾,生鲜,明明
芒***,2,朋友们，点点关注点点赞，关注东方甄选明明，小黄车均已开价，请按需购买自助下单，讲过的品请看下讲解回放,1679555286,虾,生鲜,明明
❤***,1,明明我就是上次买的虾今天在吃,1679555286,虾,生鲜,明明
快***,0,这个虾用空气炸锅做，很鲜美,1679555287,虾,生鲜,明明
爆***,2,都挺好的 我都买了无数次了,1679555287,虾,生鲜,明明
女***,2,回购多次了，几乎天天吃[呲牙],1679555288,虾,生鲜,明明
柳***,2,这个虾我买了,1679555289,虾,生鲜,明明
蚂***,0,自营虾可以闭眼买,1679555290,虾,生鲜,明明
v***,0,多吃少说,1679555290,虾,生鲜,明明
爱***,2,这小手,1679555291,虾,生鲜,明明
花***,0,有桂圆吗,1679555291,虾,生鲜,明明
未***,0,说说加一吧,1679555291,虾,生鲜,明明
沁***,2,闺女特别喜欢吃,1679555291,虾,生鲜,明明
月***,0,大虾特别好吃😋😋😋😋,1679555292,虾,生鲜,明明
蝴***,2,[呲牙][呲牙][玫瑰][玫瑰],1679555292,虾,生鲜,明明
&***,0,中午吃了,1679555293,虾,生鲜,明明
欢***,1,自营大虾已经多次回购了 很好,1679555293,虾,生鲜,明明
蓝***,2,没事，大家都知道,1679555293,虾,生鲜,明明
画***,2,我们懂,1679555294,虾,生鲜,明明
闵***,2,别提了 憨憨,1679555294,虾,生鲜,明明
柳***,2,非常好,1679555294,虾,生鲜,明明
热***,2,今天中午刚吃过[比心],1679555294,虾,生鲜,明明
姜***,0,买了7盒了,1679555294,虾,生鲜,明明
浅***,2,虾很好吃,1679555295,虾,生鲜,明明
屋***,0,别说了，懂得就懂,1679555295,虾,生鲜,明明
p***,0,这个虾好,1679555296,虾,生鲜,明明
江***,1,君子坦荡荡 小人长戚戚[呲牙],1679555296,虾,生鲜,明明
^***,0,怎么去虾线？,1679555296,虾,生鲜,明明
我***,2,我买了，挺好吃[比心],1679555297,虾,生鲜,明明
小***,0,有积素吗？,1679555297,虾,生鲜,明明
小***,0,对，多吃少说话,1679555298,虾,生鲜,明明
天***,0,可以说没关系，现在这就是,1679555300,虾,生鲜,明明
芋***,2,一盒几斤,1679555300,虾,生鲜,明明
糯***,2,👋好好看,1679555300,虾,生鲜,明明
柳***,2,我懂,1679555300,虾,生鲜,明明
深***,2,饿了,1679555300,虾,生鲜,明明
熊***,0,刺痛,1679555301,虾,生鲜,明明
